 ,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,,2013,2014,2015
Trinidad and Tobago,6.9,4.2,7.9,14.4,7.9,6.2,13.2,4.8,3.4,-4.4,3.3,-0.3,1.3,,1.0,-0.3,1.5
Tunisia,4.7,3.8,1.3,4.7,6.2,3.5,5.2,6.7,4.2,3.0,3.5,-1.9,4.0,,2.9,3.0,1.2
Turkey,6.6,-6.0,6.4,5.6,9.6,9.0,7.1,5.0,0.8,-4.7,8.5,11.1,4.8,,8.5,5.2,6.1
Turkmenistan,5.5,4.3,0.3,3.3,5.0,13.0,11.0,11.1,14.7,6.1,9.2,14.7,11.1,,10.2,10.3,6.5
Turks and Caicos Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..
Tuvalu,-1.0,1.6,7.9,-3.3,-1.4,-3.8,2.1,6.4,8.0,-4.4,-2.7,7.5,-3.8,,4.6,1.3,9.1
Uganda,3.1,5.2,8.7,6.5,6.8,6.3,10.8,8.4,8.7,6.8,5.6,9.4,3.8,,3.6,5.1,5.2
Ukraine,5.9,9.2,5.2,9.4,12.1,2.7,7.3,7.9,2.3,-14.8,4.2,5.5,0.2,,0.0,-6.6,-9.8
United Arab Emirates,10.9,1.4,2.4,8.8,9.6,4.9,9.8,3.2,3.2,-5.2,1.6,6.9,4.5,,5.1,4.4,5.1
United Kingdom,3.7,2.5,2.5,3.3,2.4,3.1,2.5,2.4,-0.5,-4.2,1.7,1.5,1.5,,2.1,3.1,2.3
United States,4.1,1.0,1.8,2.8,3.8,3.3,2.7,1.8,-0.3,-2.8,2.5,1.6,2.2,,1.7,2.6,2.9
Uruguay,-1.9,-3.8,-7.7,0.8,5.0,7.5,4.1,6.5,7.2,4.2,7.8,5.2,3.5,,4.6,3.2,0.4
Uzbekistan,3.8,4.2,4.0,4.2,7.7,7.0,7.3,9.9,9.0,8.1,8.5,8.3,8.2,,8.0,7.8,8.0
Vanuatu,5.9,-3.5,-5.1,4.3,4.0,5.3,8.5,5.2,6.4,3.3,1.6,1.2,1.8,,2.0,2.3,-0.8
"Venezuela, RB",3.7,3.4,-8.9,-7.8,18.3,10.3,9.9,8.8,5.3,-3.2,-1.5,4.2,5.6,,1.3,-3.9,..
Vietnam,6.8,6.2,6.3,6.9,7.5,7.5,7.0,7.1,5.7,5.4,6.4,6.2,5.2,,5.4,6.0,6.7
Virgin Islands (U.S.),..,..,..,-0.3,2.9,3.6,3.6,4.0,0.9,-6.6,0.9,-8.2,-15.0,,-5.8,-1.0,0.2
West Bank and Gaza,-8.6,-9.3,-12.5,14.0,10.3,10.8,-3.9,6.6,6.1,8.7,8.1,12.4,6.3,,2.2,-0.2,3.4
"Yemen, Rep.",6.2,3.8,3.9,3.7,4.0,5.6,3.2,3.3,3.6,3.9,7.7,-12.7,2.4,,4.8,-0.2,-37.1
Zambia,3.9,5.3,4.5,6.9,7.0,7.2,7.9,8.4,7.8,9.2,10.3,5.6,7.6,,5.1,4.7,2.9
Zimbabwe,-3.1,1.4,-8.9,-17.0,-5.8,-5.7,-3.5,-3.7,-17.7,12.0,12.6,15.4,14.8,,5.5,2.1,1.7
"Created from: World Development Indicators
Series : GDP growth (annual %)",,,,,,,,,,,,,,,,,
